_c0,signal_std,signal_rad,pluie,timestamp
2022-05-16T08:52:00.000+02:00,-22.480776,-29.6143,0,2022-05-16T08:52:00.000+02:00
2022-05-16T08:53:00.000+02:00,-22.494034,-29.621876,0,2022-05-16T08:53:00.000+02:00
2022-05-16T08:54:00.000+02:00,-22.472727,-29.598082,0,2022-05-16T08:54:00.000+02:00
2022-05-16T08:55:00.000+02:00,-22.458523,-29.60199,0,2022-05-16T08:55:00.000+02:00
2022-05-16T08:56:00.000+02:00,-22.456392,-29.588139,0,2022-05-16T08:56:00.000+02:00
2022-05-16T08:57:00.000+02:00,-22.442188,-29.563992,0,2022-05-16T08:57:00.000+02:00
2022-05-16T08:58:00.000+02:00,-22.413778,-29.54304,0,2022-05-16T08:58:00.000+02:00
2022-05-16T08:59:00.000+02:00,-22.38892,-29.541618,0,2022-05-16T08:59:00.000+02:00
2022-05-16T09:00:00.000+02:00,-22.401705,-29.520313,0,2022-05-16T09:00:00.000+02:00
2022-05-16T09:01:00.000+02:00,-22.436861,-29.51108,0,2022-05-16T09:01:00.000+02:00
2022-05-16T09:02:00.000+02:00,-22.412003,-29.471663,0,2022-05-16T09:02:00.000+02:00
2022-05-16T09:03:00.000+02:00,-22.405966,-29.49368,0,2022-05-16T09:03:00.000+02:00
2022-05-16T09:04:00.000+02:00,-22.412714,-29.494034,0,2022-05-16T09:04:00.000+02:00
2022-05-16T09:05:00.000+02:00,-22.392471,-29.495455,0,2022-05-16T09:05:00.000+02:00
2022-05-16T09:06:00.000+02:00,-22.339916,-29.48338,0,2022-05-16T09:06:00.000+02:00
2022-05-16T09:07:00.000+02:00,-22.375782,-29.473083,0,2022-05-16T09:07:00.000+02:00
2022-05-16T09:08:00.000+02:00,-22.38608,-29.469887,0,2022-05-16T09:08:00.000+02:00
2022-05-16T09:09:00.000+02:00,-22.392117,-29.460299,0,2022-05-16T09:09:00.000+02:00
2022-05-16T09:10:00.000+02:00,-22.371521,-29.465626,1,2022-05-16T09:10:00.000+02:00
2022-05-16T09:11:00.000+02:00,-22.383238,-29.44645,1,2022-05-16T09:11:00.000+02:00
2022-05-16T09:12:00.000+02:00,-22.405611,-29.405966,1,2022-05-16T09:12:00.000+02:00
2022-05-16T09:13:00.000+02:00,-22.36797,-29.395313,1,2022-05-16T09:13:00.000+02:00
2022-05-16T09:14:00.000+02:00,-22.375782,-29.41804,1,2022-05-16T09:14:00.000+02:00
2022-05-16T09:15:00.000+02:00,-22.394958,-29.443964,1,2022-05-16T09:15:00.000+02:00
2022-05-16T09:16:00.000+02:00,-22.367258,-29.464205,0,2022-05-16T09:16:00.000+02:00
2022-05-16T09:17:00.000+02:00,-22.3875,-29.486576,0,2022-05-16T09:17:00.000+02:00
2022-05-16T09:18:00.000+02:00,-22.378267,-29.474503,0,2022-05-16T09:18:00.000+02:00
2022-05-16T09:19:00.000+02:00,-22.37507,-29.469887,0,2022-05-16T09:19:00.000+02:00
2022-05-16T09:20:00.000+02:00,-22.367613,-29.475214,0,2022-05-16T09:20:00.000+02:00
2022-05-16T09:21:00.000+02:00,-22.397087,-29.469532,0,2022-05-16T09:21:00.000+02:00
2022-05-16T09:22:00.000+02:00,-22.37294,-29.465626,0,2022-05-16T09:22:00.000+02:00
2022-05-16T09:23:00.000+02:00,-22.38324,-29.470242,0,2022-05-16T09:23:00.000+02:00
2022-05-16T09:24:00.000+02:00,-22.382174,-29.476633,0,2022-05-16T09:24:00.000+02:00
2022-05-16T09:25:00.000+02:00,-22.374716,-29.483025,0,2022-05-16T09:25:00.000+02:00
2022-05-16T09:26:00.000+02:00,-22.387856,-29.470242,0,2022-05-16T09:26:00.000+02:00
2022-05-16T09:27:00.000+02:00,-22.383595,-29.475569,0,2022-05-16T09:27:00.000+02:00
2022-05-16T09:28:00.000+02:00,-22.39034,-29.484802,0,2022-05-16T09:28:00.000+02:00
2022-05-16T09:29:00.000+02:00,-22.394604,-29.469887,0,2022-05-16T09:29:00.000+02:00
2022-05-16T09:30:00.000+02:00,-22.395668,-29.469532,0,2022-05-16T09:30:00.000+02:00
2022-05-16T09:31:00.000+02:00,-22.369743,-29.46456,0,2022-05-16T09:31:00.000+02:00
2022-05-16T09:32:00.000+02:00,-22.395313,-29.458523,0,2022-05-16T09:32:00.000+02:00
2022-05-16T09:33:00.000+02:00,-22.386435,-29.46385,0,2022-05-16T09:33:00.000+02:00
2022-05-16T09:34:00.000+02:00,-22.381462,-29.48196,0,2022-05-16T09:34:00.000+02:00
2022-05-16T09:35:00.000+02:00,-22.367258,-29.472017,0,2022-05-16T09:35:00.000+02:00
2022-05-16T09:36:00.000+02:00,-22.392471,-29.475924,0,2022-05-16T09:36:00.000+02:00
2022-05-16T09:37:00.000+02:00,-22.376492,-29.456038,0,2022-05-16T09:37:00.000+02:00
2022-05-16T09:38:00.000+02:00,-22.400639,-29.476278,0,2022-05-16T09:38:00.000+02:00
2022-05-16T09:39:00.000+02:00,-22.385014,-29.478409,0,2022-05-16T09:39:00.000+02:00
2022-05-16T09:40:00.000+02:00,-22.382528,-29.472017,0,2022-05-16T09:40:00.000+02:00
